label,layer_idx,head_idxs,perplexity,average_energy_per_token_mj,average_time_per_token_ms,allocated_memory
baseline,,,2.265625,2939.262016412661,13.076861466500572,16069084160
pruned-0-all,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",3.046875,2740.4853673723537,12.149141185161929,15985195520
pruned-0-every-other,0,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.8125,2681.6807700444256,11.877255886635519,16035529728
pruned-1-all,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.71875,2724.697954084023,12.030250371182019,15985197568
pruned-1-every-other,1,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.65625,2793.295621330724,12.335485587381337,16035529728
pruned-2-all,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.609375,2666.9358362498674,11.774226531634492,15985197568
pruned-2-every-other,2,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.578125,2651.9583523609463,11.712158920667152,16035528704
pruned-3-all,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.53125,2699.4352441613587,11.927320155330992,15985197568
pruned-3-every-other,3,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.5,2690.7457591476236,11.884661638668204,16035529216
pruned-4-all,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.484375,2731.61100049776,12.061033114204957,15985197056
pruned-4-every-other,4,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.453125,2696.422542460113,11.915393504746314,16035527680
pruned-5-all,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.4375,2679.6890937829294,11.838406921061123,15985197568
pruned-5-every-other,5,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.421875,2645.4332694292875,11.693734730766135,16035529728
pruned-6-all,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.421875,2698.0851742097702,11.920754572954671,15985197568
pruned-6-every-other,6,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2726.9938125493127,12.053731123348946,16035528704
pruned-7-all,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.390625,2729.7189771093235,12.071398996379315,15985197056
pruned-7-every-other,7,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2695.711861273386,11.925346468941203,16035528704
pruned-8-all,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2674.8522539615615,11.830758312958901,15985197056
pruned-8-every-other,8,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2712.5766041461006,11.991359348868256,16035529728
pruned-9-all,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2744.553482471611,12.120875219273506,15985197568
pruned-9-every-other,9,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2714.7848195423844,11.986444726319878,16035527680
pruned-10-all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2742.817181608419,12.108567335427301,15985197568
pruned-10-every-other,10,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2718.0996255901027,12.000486611272038,16035528192
pruned-11-all,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2743.6833990770106,12.110385454167874,15985197568
pruned-11-every-other,11,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2747.7775745290946,12.125952749355575,16035529728
pruned-12-all,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2704.4707922819357,11.94148116152762,15985196032
pruned-12-every-other,12,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2709.755251881876,11.968618204087,16035529728
pruned-13-all,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2725.9025219420064,12.03446859201449,15985197568
pruned-13-every-other,13,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2716.2927007770627,11.991906356474862,16035529728
pruned-14-all,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2721.155158087166,12.013757737505356,15985197568
pruned-14-every-other,14,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2738.2897362580234,12.090763508247363,16035529728
pruned-15-all,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2737.9177737325226,12.093443316305962,15985196544
pruned-15-every-other,15,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2739.1995231569263,12.100337845966681,16035528704
pruned-16-all,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2738.418558880344,12.095946236246245,15985196544
pruned-16-every-other,16,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2724.4457979158515,12.036074622662634,16035529728
pruned-17-all,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2726.6143787462647,12.04755298377743,15985197568
pruned-17-every-other,17,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2738.766815692972,12.101810117932889,16035529728
pruned-18-all,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2748.296471467811,12.143987107122303,15985197568
pruned-18-every-other,18,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2732.3301388181353,12.072492616703725,16035529728
pruned-19-all,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2737.328984069919,12.092706585657513,15985197568
pruned-19-every-other,19,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2749.8456024096386,12.14776145047452,16035529216
pruned-20-all,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2756.519615610329,12.176000694154014,15985197568
pruned-20-every-other,20,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2751.9736041337733,12.157665569299397,16035529728
pruned-21-all,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2742.2868136351485,12.116335549262448,15985197568
pruned-21-every-other,21,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2737.7489736878356,12.097621466571889,16035528192
pruned-22-all,22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2722.8190398808315,12.030087683517081,15985196032
pruned-22-every-other,22,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2725.043886607498,12.039330435487699,16035529728
pruned-23-all,23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2724.7026420576144,12.038013558098372,15985197568
pruned-23-every-other,23,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2734.9186495624754,12.083224766444665,16035529216
pruned-24-all,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2740.824137845605,12.109669587879372,15985197568
pruned-24-every-other,24,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2740.901444030168,12.110227712637874,16035529728
pruned-25-all,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2749.567141313255,12.146317375406634,15985197568
pruned-25-every-other,25,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2752.655834254787,12.159878465423468,16035529216
pruned-26-all,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2762.2209835916237,12.198590451516354,15985197568
pruned-26-every-other,26,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2756.2564384052694,12.1703043807573,16035528704
pruned-27-all,27,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2753.3057167714724,12.153809274575346,15985197568
pruned-27-every-other,27,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2751.4210532013944,12.144811917509777,16035529728
pruned-28-all,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2735.1871510769824,12.073026616592049,15985196032
pruned-28-every-other,28,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",2.40625,2721.5129821449314,12.013687874941638,16035529728
pruned-29-all,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",2.40625,2710.6301181471526,11.964330406735046,15985197056
